Date,Product,Quantity_Sold,Inventory_Level,Price,Month
2023-01-25,Laptop Charger Type-C,13,142,60,1
2023-03-31,Wireless Earphone Pro,12,90,25,3
2023-03-16,Desk Fan CoolBreeze,15,155,20,3
2023-10-21,Bluetooth Speaker Mini,7,116,40,10
2023-07-29,Wireless Earphone Pro,13,120,25,7
2023-12-13,Tablet Stand Adjustable,12,30,40,12
2023-01-17,LED Desk Lamp Pro,12,59,150,1
2023-05-08,Laptop Charger Type-C,2,130,80,5
2023-12-30,LED Desk Lamp Pro,5,143,50,12
2023-09-08,Wireless Earphone Pro,2,59,50,9
2023-06-28,Smartphone X1,13,124,40,6
2023-07-01,Power Bank Ultra 10000mAh,3,10,15,7
2023-06-01,Laptop Charger Type-C,11,194,35,6
2023-01-25,Power Bank Ultra 10000mAh,16,39,30,1
2023-06-29,Smartphone X1,1,195,15,6
2023-07-17,LED Desk Lamp Pro,19,116,35,7
2023-12-10,Desk Fan CoolBreeze,11,189,15,12
2023-06-10,USB-C Hub 6-in-1,9,174,150,6
2023-06-26,Power Bank Ultra 10000mAh,14,57,15,6
2023-10-12,Smartphone X1,9,96,30,10
2023-03-04,Smartphone X1,7,138,50,3
2023-05-30,USB-C Hub 6-in-1,16,28,15,5
2023-06-03,LED Desk Lamp Pro,3,55,60,6
2023-06-05,Laptop Charger Type-C,19,139,35,6
2023-02-18,Smartphone X1,4,65,20,2
2023-12-03,Bluetooth Speaker Mini,7,154,35,12
2023-03-25,Wireless Earphone Pro,12,101,50,3
2023-12-27,Smartwatch Series 5,18,91,15,12
2023-06-26,Tablet Stand Adjustable,5,88,60,6
2023-05-28,USB-C Hub 6-in-1,10,159,15,5
2023-04-28,Smartphone X1,12,114,15,4
2023-12-08,Smartphone X1,8,36,40,12
2023-03-04,LED Desk Lamp Pro,19,64,150,3
2023-07-08,Power Bank Ultra 10000mAh,15,169,30,7
2023-12-26,Smartphone X1,1,69,150,12
2023-02-18,Power Bank Ultra 10000mAh,3,118,20,2
2023-11-23,Smartphone X1,18,165,50,11
2023-09-14,Smartwatch Series 5,18,165,15,9
2023-08-12,Desk Fan CoolBreeze,2,129,80,8
2023-05-21,Wireless Earphone Pro,5,162,150,5
2023-08-03,Laptop Charger Type-C,1,94,25,8
2023-07-30,USB-C Hub 6-in-1,10,95,80,7
2023-11-14,Bluetooth Speaker Mini,10,126,150,11
2023-02-01,LED Desk Lamp Pro,5,163,25,2
2023-06-07,LED Desk Lamp Pro,18,117,50,6
2023-10-12,Smartphone X1,15,84,15,10
2023-11-01,Desk Fan CoolBreeze,8,128,60,11
2023-10-13,Laptop Charger Type-C,17,154,60,10
2023-05-24,LED Desk Lamp Pro,12,16,150,5
2023-01-19,Laptop Charger Type-C,12,193,15,1
2023-01-18,LED Desk Lamp Pro,1,157,150,1
2023-09-14,Desk Fan CoolBreeze,4,175,50,9
2023-03-19,Power Bank Ultra 10000mAh,8,84,25,3
2023-06-24,Bluetooth Speaker Mini,1,67,15,6
2023-07-13,LED Desk Lamp Pro,15,25,80,7
2023-04-23,LED Desk Lamp Pro,18,188,25,4
2023-04-24,Smartphone X1,1,36,80,4
2023-08-10,USB-C Hub 6-in-1,11,60,80,8
2023-06-15,Wireless Earphone Pro,2,84,50,6
2023-11-15,Smartphone X1,1,153,30,11
2023-05-12,Laptop Charger Type-C,12,96,30,5
2023-09-21,Power Bank Ultra 10000mAh,16,197,15,9
2023-02-24,Desk Fan CoolBreeze,10,132,20,2
2023-12-25,Wireless Earphone Pro,18,85,35,12
2023-05-11,Desk Fan CoolBreeze,15,49,30,5
2023-10-15,Smartphone X1,17,76,15,10
2023-09-23,Wireless Earphone Pro,10,139,80,9
2023-06-11,Power Bank Ultra 10000mAh,3,111,60,6
2023-03-28,Power Bank Ultra 10000mAh,16,185,30,3
2023-02-24,Smartphone X1,6,189,50,2
2023-10-15,Power Bank Ultra 10000mAh,3,161,15,10
2023-06-27,Tablet Stand Adjustable,9,102,35,6
2023-12-15,Wireless Earphone Pro,11,119,150,12
2023-01-08,Laptop Charger Type-C,13,91,20,1
2023-11-17,Smartwatch Series 5,18,87,80,11
2023-11-09,LED Desk Lamp Pro,4,11,80,11
2023-09-04,LED Desk Lamp Pro,8,74,150,9
2023-11-19,Laptop Charger Type-C,13,29,30,11
2023-09-12,Wireless Earphone Pro,10,43,60,9
2023-11-24,Smartphone X1,2,50,150,11
2023-02-23,LED Desk Lamp Pro,8,178,60,2
2023-09-06,Smartphone X1,6,32,80,9
2023-08-27,Wireless Earphone Pro,16,47,35,8
2023-08-17,Wireless Earphone Pro,18,181,30,8
2023-03-08,Wireless Earphone Pro,17,76,15,3
2023-02-20,Power Bank Ultra 10000mAh,6,71,80,2
2023-04-07,Desk Fan CoolBreeze,13,149,150,4
2023-04-02,Smartphone X1,14,39,60,4
2023-09-21,Tablet Stand Adjustable,10,96,60,9
2023-10-18,Smartphone X1,11,178,80,10
2023-04-06,Smartphone X1,13,157,80,4
2023-03-29,LED Desk Lamp Pro,12,127,35,3
2023-03-19,Power Bank Ultra 10000mAh,9,15,35,3
2023-10-15,Desk Fan CoolBreeze,4,84,40,10
2023-04-30,Bluetooth Speaker Mini,7,141,150,4
2023-10-29,Smartphone X1,2,102,50,10
2023-06-14,LED Desk Lamp Pro,7,19,150,6
2023-07-01,Power Bank Ultra 10000mAh,9,60,35,7
2023-08-11,LED Desk Lamp Pro,5,102,40,8
2023-11-07,Power Bank Ultra 10000mAh,15,47,30,11
2023-01-07,LED Desk Lamp Pro,18,138,80,1
2023-11-26,Smartphone X1,4,145,20,11
2023-09-20,Bluetooth Speaker Mini,19,111,150,9
2023-06-10,Desk Fan CoolBreeze,7,90,150,6
2023-05-31,LED Desk Lamp Pro,8,92,25,5
2023-03-26,LED Desk Lamp Pro,17,170,35,3
2023-05-27,Desk Fan CoolBreeze,13,152,20,5
2023-04-22,LED Desk Lamp Pro,11,40,15,4
2023-02-05,Power Bank Ultra 10000mAh,1,30,25,2
2023-10-12,Wireless Earphone Pro,2,140,50,10
2023-07-07,Wireless Earphone Pro,17,135,150,7
2023-03-23,Smartwatch Series 5,5,44,40,3
2023-01-02,Smartwatch Series 5,6,178,40,1
2023-10-30,Bluetooth Speaker Mini,7,196,15,10
2023-07-16,Power Bank Ultra 10000mAh,15,153,60,7
2023-01-11,USB-C Hub 6-in-1,19,193,25,1
2023-08-22,Power Bank Ultra 10000mAh,16,54,25,8
2023-07-14,Wireless Earphone Pro,13,68,40,7
2023-04-29,Bluetooth Speaker Mini,5,187,40,4
2023-01-20,Desk Fan CoolBreeze,3,21,80,1
2023-09-18,USB-C Hub 6-in-1,3,149,40,9
2023-10-20,Tablet Stand Adjustable,19,42,35,10
2023-09-13,Power Bank Ultra 10000mAh,14,186,40,9
2023-08-10,Bluetooth Speaker Mini,16,30,25,8
2023-08-14,Smartphone X1,17,69,80,8
2023-02-22,Smartwatch Series 5,4,61,50,2
2023-12-21,Laptop Charger Type-C,13,191,25,12
2023-12-08,Smartphone X1,8,176,40,12
2023-12-30,Wireless Earphone Pro,19,186,40,12
2023-10-07,LED Desk Lamp Pro,5,132,40,10
2023-03-22,LED Desk Lamp Pro,2,115,80,3
2023-07-21,Smartwatch Series 5,15,109,150,7
2023-06-07,Smartphone X1,2,163,80,6
2023-04-30,Power Bank Ultra 10000mAh,11,80,30,4
2023-02-28,Smartwatch Series 5,13,144,35,2
2023-08-03,LED Desk Lamp Pro,10,71,20,8
2023-05-08,Smartphone X1,3,97,35,5
2023-08-12,Desk Fan CoolBreeze,5,33,40,8
2023-07-28,Smartphone X1,3,49,20,7
2023-04-25,LED Desk Lamp Pro,6,85,50,4
2023-07-28,Smartwatch Series 5,13,184,60,7
2023-01-14,Desk Fan CoolBreeze,10,145,25,1
2023-01-09,Wireless Earphone Pro,19,191,150,1
2023-02-09,Tablet Stand Adjustable,8,18,60,2
2023-08-25,Power Bank Ultra 10000mAh,18,12,80,8
2023-10-08,Smartphone X1,3,191,30,10
2023-12-25,LED Desk Lamp Pro,17,30,15,12
2023-07-20,LED Desk Lamp Pro,8,104,35,7
2023-09-03,LED Desk Lamp Pro,10,185,60,9
2023-10-05,Tablet Stand Adjustable,2,184,30,10
2023-08-23,Desk Fan CoolBreeze,12,25,40,8
2023-01-04,Smartphone X1,6,116,80,1
2023-06-03,Wireless Earphone Pro,2,102,80,6
2023-01-29,Wireless Earphone Pro,3,142,25,1
2023-04-19,Tablet Stand Adjustable,17,148,20,4
2023-04-08,Smartwatch Series 5,7,166,20,4
2023-08-03,Smartphone X1,5,88,60,8
2023-10-20,Tablet Stand Adjustable,1,79,50,10
2023-03-16,Desk Fan CoolBreeze,8,57,20,3
2023-11-22,Smartwatch Series 5,12,24,20,11
2023-05-26,Smartphone X1,14,43,40,5
2023-05-08,Power Bank Ultra 10000mAh,16,69,40,5
2023-12-07,Power Bank Ultra 10000mAh,10,199,30,12
2023-02-11,Wireless Earphone Pro,15,11,80,2
2023-12-22,Tablet Stand Adjustable,15,89,80,12
2023-02-10,Tablet Stand Adjustable,10,28,80,2
2023-02-03,USB-C Hub 6-in-1,7,58,30,2
2023-01-17,Smartwatch Series 5,3,87,15,1
2023-06-14,Desk Fan CoolBreeze,2,37,40,6
2023-06-02,Power Bank Ultra 10000mAh,6,57,30,6
2023-03-17,Laptop Charger Type-C,9,105,80,3
2023-03-28,Desk Fan CoolBreeze,10,174,60,3
2023-04-27,Power Bank Ultra 10000mAh,4,186,40,4
2023-12-28,Smartphone X1,3,118,150,12
2023-12-08,LED Desk Lamp Pro,9,185,20,12
2023-01-27,Wireless Earphone Pro,17,82,40,1
2023-11-09,USB-C Hub 6-in-1,14,109,40,11
2023-10-14,Smartphone X1,10,38,80,10
2023-05-14,USB-C Hub 6-in-1,13,197,35,5
2023-08-07,Wireless Earphone Pro,12,166,15,8
2023-06-17,Smartphone X1,1,67,40,6
2023-04-08,Tablet Stand Adjustable,19,57,30,4
2023-09-25,Power Bank Ultra 10000mAh,19,32,50,9
2023-08-25,Smartwatch Series 5,6,36,80,8
2023-11-05,Smartphone X1,13,16,80,11
2023-06-22,Smartphone X1,19,58,35,6
2023-07-09,Wireless Earphone Pro,13,191,25,7
2023-05-02,Smartphone X1,4,118,50,5
2023-02-15,LED Desk Lamp Pro,2,77,150,2
2023-03-05,Smartphone X1,15,179,20,3
2023-05-10,Laptop Charger Type-C,12,196,25,5
2023-11-06,Smartphone X1,7,181,60,11
2023-12-29,Wireless Earphone Pro,18,163,40,12
2023-07-12,LED Desk Lamp Pro,13,160,60,7
2023-11-03,Power Bank Ultra 10000mAh,17,82,150,11
2023-06-30,LED Desk Lamp Pro,4,110,30,6
2023-10-19,Power Bank Ultra 10000mAh,14,17,15,10
2023-10-09,USB-C Hub 6-in-1,13,62,30,10
2023-01-29,Bluetooth Speaker Mini,3,151,30,1
2023-05-29,LED Desk Lamp Pro,18,144,30,5
2023-09-24,Tablet Stand Adjustable,14,146,50,9
2023-10-23,Bluetooth Speaker Mini,15,12,80,10
2023-01-11,Power Bank Ultra 10000mAh,3,87,40,1
2023-06-13,Power Bank Ultra 10000mAh,1,154,20,6
2023-04-23,LED Desk Lamp Pro,17,181,50,4
2023-07-06,Wireless Earphone Pro,3,95,25,7
2023-10-22,Smartwatch Series 5,14,55,25,10
2023-08-20,Desk Fan CoolBreeze,3,99,50,8
2023-08-15,Wireless Earphone Pro,13,195,150,8
2023-11-06,LED Desk Lamp Pro,15,165,60,11
2023-04-08,USB-C Hub 6-in-1,18,151,50,4
2023-02-24,Tablet Stand Adjustable,14,18,50,2
2023-04-21,LED Desk Lamp Pro,3,124,20,4
2023-06-01,Smartphone X1,19,163,20,6
2023-09-03,Wireless Earphone Pro,8,139,80,9
2023-03-10,Laptop Charger Type-C,4,84,20,3
2023-11-08,Power Bank Ultra 10000mAh,4,90,80,11
2023-10-16,USB-C Hub 6-in-1,19,137,30,10
2023-09-07,LED Desk Lamp Pro,11,43,60,9
2023-02-05,Laptop Charger Type-C,1,156,150,2
2023-08-27,Wireless Earphone Pro,8,48,60,8
2023-05-28,LED Desk Lamp Pro,15,22,80,5
2023-08-15,Laptop Charger Type-C,1,142,20,8
2023-09-01,Laptop Charger Type-C,7,59,50,9
2023-12-03,Smartwatch Series 5,11,32,40,12
2023-12-31,LED Desk Lamp Pro,14,131,30,12
2023-07-20,Tablet Stand Adjustable,16,129,35,7
2023-06-03,Desk Fan CoolBreeze,14,97,25,6
2023-03-14,Desk Fan CoolBreeze,12,166,80,3
2023-07-20,Wireless Earphone Pro,17,121,60,7
2023-10-23,Laptop Charger Type-C,14,120,20,10
2023-01-17,Desk Fan CoolBreeze,10,81,30,1
2023-05-09,Smartwatch Series 5,14,163,25,5
2023-08-05,Desk Fan CoolBreeze,18,66,35,8
2023-03-02,LED Desk Lamp Pro,9,10,50,3
2023-04-14,Tablet Stand Adjustable,17,165,50,4
2023-02-11,USB-C Hub 6-in-1,6,122,80,2
2023-01-25,Desk Fan CoolBreeze,8,71,80,1
2023-02-08,Desk Fan CoolBreeze,13,56,20,2
2023-10-18,Smartwatch Series 5,18,87,40,10
2023-05-11,Smartphone X1,5,115,20,5
2023-08-17,Laptop Charger Type-C,6,196,150,8
2023-04-18,USB-C Hub 6-in-1,19,168,30,4
2023-06-21,Laptop Charger Type-C,4,135,30,6
2023-04-12,USB-C Hub 6-in-1,7,186,60,4
2023-12-20,Smartwatch Series 5,4,14,50,12
2023-01-12,Tablet Stand Adjustable,11,40,15,1
2023-10-02,Power Bank Ultra 10000mAh,12,46,20,10
2023-04-11,USB-C Hub 6-in-1,14,88,60,4
2023-02-13,Bluetooth Speaker Mini,13,152,80,2
2023-11-01,Power Bank Ultra 10000mAh,10,61,30,11
2023-01-17,Wireless Earphone Pro,18,148,80,1
2023-11-26,USB-C Hub 6-in-1,16,52,20,11
2023-02-26,Laptop Charger Type-C,5,160,25,2
2023-11-07,Power Bank Ultra 10000mAh,8,49,80,11
2023-10-30,LED Desk Lamp Pro,14,72,15,10
2023-01-12,USB-C Hub 6-in-1,5,139,30,1
2023-11-14,LED Desk Lamp Pro,8,96,20,11
2023-03-21,Laptop Charger Type-C,6,82,60,3
2023-08-04,Laptop Charger Type-C,16,184,40,8
2023-12-05,LED Desk Lamp Pro,4,113,40,12
2023-09-21,Bluetooth Speaker Mini,12,167,20,9
2023-05-29,USB-C Hub 6-in-1,11,25,40,5
2023-03-22,Wireless Earphone Pro,3,68,30,3
2023-08-03,Laptop Charger Type-C,12,56,25,8
2023-07-17,Smartphone X1,5,125,80,7
2023-07-19,Power Bank Ultra 10000mAh,6,167,15,7
2023-01-25,Smartphone X1,19,118,35,1
2023-03-30,Smartphone X1,18,18,60,3
2023-09-25,LED Desk Lamp Pro,16,74,30,9
2023-05-23,Power Bank Ultra 10000mAh,11,68,50,5
2023-02-28,USB-C Hub 6-in-1,5,111,150,2
2023-12-31,Desk Fan CoolBreeze,9,145,150,12
2023-01-26,Tablet Stand Adjustable,3,132,60,1
2023-02-16,Power Bank Ultra 10000mAh,8,189,30,2
2023-10-15,USB-C Hub 6-in-1,6,155,20,10
2023-09-23,Tablet Stand Adjustable,4,100,80,9
2023-01-16,USB-C Hub 6-in-1,12,105,20,1
2023-07-18,Desk Fan CoolBreeze,12,67,20,7
2023-10-09,LED Desk Lamp Pro,16,186,50,10
2023-03-27,Tablet Stand Adjustable,10,41,40,3
2023-09-07,Wireless Earphone Pro,14,57,150,9
2023-09-27,Tablet Stand Adjustable,13,54,35,9
2023-12-01,Smartphone X1,9,191,35,12
2023-04-27,LED Desk Lamp Pro,7,109,80,4
2023-01-07,Smartphone X1,12,109,150,1
2023-05-17,Wireless Earphone Pro,5,55,50,5
2023-06-25,Desk Fan CoolBreeze,18,168,60,6
2023-11-24,Tablet Stand Adjustable,4,174,30,11
2023-11-11,Smartwatch Series 5,2,153,20,11
2023-08-03,Laptop Charger Type-C,3,183,20,8
2023-03-23,LED Desk Lamp Pro,12,135,15,3
2023-08-11,Wireless Earphone Pro,3,55,60,8
2023-04-13,LED Desk Lamp Pro,4,130,15,4
2023-09-30,Smartphone X1,6,97,15,9
2023-01-14,Desk Fan CoolBreeze,12,70,40,1
2023-06-08,Desk Fan CoolBreeze,19,55,35,6
2023-06-01,Power Bank Ultra 10000mAh,10,188,15,6
2023-04-18,Laptop Charger Type-C,1,199,20,4
2023-07-07,Power Bank Ultra 10000mAh,17,172,150,7
2023-10-28,USB-C Hub 6-in-1,16,90,150,10
2023-04-08,Bluetooth Speaker Mini,9,179,40,4
2023-05-11,Tablet Stand Adjustable,9,54,150,5
2023-10-20,Power Bank Ultra 10000mAh,9,127,20,10
2023-06-20,Power Bank Ultra 10000mAh,12,56,35,6
2023-07-02,Smartphone X1,9,167,35,7
2023-12-30,Wireless Earphone Pro,15,161,35,12
2023-02-08,Tablet Stand Adjustable,2,180,30,2
2023-01-15,LED Desk Lamp Pro,11,171,60,1
2023-01-04,USB-C Hub 6-in-1,11,32,30,1
2023-12-15,Laptop Charger Type-C,8,70,30,12
2023-07-29,LED Desk Lamp Pro,6,174,30,7
2023-06-10,USB-C Hub 6-in-1,7,22,150,6
2023-01-16,LED Desk Lamp Pro,3,16,25,1
2023-04-18,Bluetooth Speaker Mini,8,179,150,4
2023-11-07,Wireless Earphone Pro,18,175,25,11
2023-08-15,Smartphone X1,17,189,150,8
2023-06-19,USB-C Hub 6-in-1,11,181,20,6
2023-02-03,Smartphone X1,2,150,60,2
2023-09-08,Wireless Earphone Pro,19,37,50,9
2023-09-04,Bluetooth Speaker Mini,7,105,50,9
2023-09-26,Tablet Stand Adjustable,18,116,30,9
2023-05-21,Tablet Stand Adjustable,8,107,50,5
2023-10-01,Power Bank Ultra 10000mAh,14,121,60,10
2023-04-06,Smartwatch Series 5,7,10,60,4
2023-08-15,Tablet Stand Adjustable,4,52,80,8
2023-02-08,LED Desk Lamp Pro,17,51,40,2
2023-10-29,USB-C Hub 6-in-1,5,104,60,10
2023-01-29,LED Desk Lamp Pro,12,187,40,1
2023-11-14,Desk Fan CoolBreeze,9,197,50,11
2023-09-02,Tablet Stand Adjustable,13,138,40,9
2023-08-24,Power Bank Ultra 10000mAh,18,60,25,8
2023-07-04,USB-C Hub 6-in-1,9,153,20,7
2023-09-29,Tablet Stand Adjustable,4,176,40,9
2023-08-24,Tablet Stand Adjustable,8,24,20,8
2023-08-27,Laptop Charger Type-C,1,134,30,8
2023-09-23,Bluetooth Speaker Mini,17,170,50,9
2023-12-25,Wireless Earphone Pro,9,96,20,12
2023-12-06,Bluetooth Speaker Mini,13,62,15,12
2023-03-06,Power Bank Ultra 10000mAh,2,154,30,3
2023-06-26,Desk Fan CoolBreeze,13,98,20,6
2023-01-03,Power Bank Ultra 10000mAh,9,115,80,1
2023-05-22,Smartphone X1,6,15,40,5
2023-06-07,Laptop Charger Type-C,1,40,80,6
2023-11-20,USB-C Hub 6-in-1,5,49,60,11
2023-05-26,Laptop Charger Type-C,3,167,25,5
2023-10-20,Wireless Earphone Pro,4,78,30,10
2023-06-02,Tablet Stand Adjustable,1,144,35,6
2023-07-12,Wireless Earphone Pro,14,22,35,7
2023-03-14,LED Desk Lamp Pro,9,13,20,3
2023-11-01,LED Desk Lamp Pro,4,187,40,11
2023-12-10,Bluetooth Speaker Mini,18,12,50,12
2023-05-20,Wireless Earphone Pro,14,149,35,5
2023-07-06,USB-C Hub 6-in-1,4,74,50,7
2023-10-20,Smartphone X1,10,36,35,10
2023-03-02,Laptop Charger Type-C,3,116,30,3
2023-07-17,Wireless Earphone Pro,7,59,35,7
2023-10-22,LED Desk Lamp Pro,10,26,60,10
2023-11-15,Smartphone X1,13,41,150,11
2023-10-29,Tablet Stand Adjustable,4,188,20,10
2023-12-10,USB-C Hub 6-in-1,18,26,25,12
2023-01-11,Laptop Charger Type-C,11,43,35,1
2023-03-03,Smartphone X1,4,44,40,3
2023-11-29,LED Desk Lamp Pro,14,161,25,11
2023-08-14,Bluetooth Speaker Mini,18,191,50,8
2023-06-02,Tablet Stand Adjustable,8,155,80,6
2023-07-18,Power Bank Ultra 10000mAh,10,59,60,7
2023-02-21,Laptop Charger Type-C,5,183,15,2
2023-09-17,Laptop Charger Type-C,7,185,15,9
2023-02-28,Smartphone X1,12,112,25,2
2023-03-13,Smartphone X1,3,42,80,3
2023-05-28,Desk Fan CoolBreeze,4,98,40,5
2023-12-15,Power Bank Ultra 10000mAh,10,164,25,12
2023-03-04,Power Bank Ultra 10000mAh,4,138,50,3
2023-11-06,Bluetooth Speaker Mini,15,94,30,11
2023-08-31,Desk Fan CoolBreeze,10,68,25,8
2023-11-26,Smartphone X1,16,19,15,11
2023-04-17,Tablet Stand Adjustable,15,162,150,4
2023-08-14,Smartphone X1,19,66,15,8
2023-11-09,Smartphone X1,19,75,80,11
2023-08-06,Smartphone X1,18,128,50,8
2023-08-29,Desk Fan CoolBreeze,12,121,40,8
2023-09-16,Smartphone X1,16,24,60,9
2023-09-19,Smartphone X1,1,165,20,9
2023-01-05,Laptop Charger Type-C,16,22,150,1
2023-09-18,Desk Fan CoolBreeze,2,123,60,9
2023-02-23,Wireless Earphone Pro,15,127,25,2
2023-02-16,Laptop Charger Type-C,7,151,150,2
2023-08-03,Smartphone X1,1,123,80,8
2023-06-26,Laptop Charger Type-C,5,43,50,6
2023-01-09,Tablet Stand Adjustable,10,110,40,1
2023-04-09,Tablet Stand Adjustable,4,34,60,4
2023-01-20,Wireless Earphone Pro,14,121,25,1
2023-08-29,Wireless Earphone Pro,13,63,50,8
2023-03-02,Smartphone X1,1,21,25,3
2023-06-27,Smartwatch Series 5,16,135,40,6
2023-12-04,Smartphone X1,9,146,60,12
2023-03-03,Desk Fan CoolBreeze,16,40,25,3
2023-05-25,LED Desk Lamp Pro,19,87,50,5
2023-08-04,LED Desk Lamp Pro,15,62,25,8
2023-01-03,LED Desk Lamp Pro,14,121,60,1
2023-06-09,Tablet Stand Adjustable,10,52,50,6
2023-08-15,USB-C Hub 6-in-1,12,175,80,8
2023-09-26,Wireless Earphone Pro,1,51,30,9
2023-04-30,Tablet Stand Adjustable,17,133,50,4
2023-03-30,Laptop Charger Type-C,9,185,150,3
2023-11-25,Laptop Charger Type-C,19,76,30,11
2023-03-09,Desk Fan CoolBreeze,18,75,25,3
2023-12-23,Wireless Earphone Pro,7,153,60,12
2023-04-08,Wireless Earphone Pro,9,92,50,4
2023-09-24,LED Desk Lamp Pro,12,103,60,9
2023-04-15,Smartphone X1,7,114,50,4
2023-11-19,Laptop Charger Type-C,14,153,60,11
2023-05-03,LED Desk Lamp Pro,15,40,150,5
2023-01-29,Tablet Stand Adjustable,15,127,20,1
2023-05-17,Bluetooth Speaker Mini,6,195,30,5
2023-07-14,Power Bank Ultra 10000mAh,14,37,30,7
2023-08-14,Wireless Earphone Pro,2,13,50,8
2023-11-28,LED Desk Lamp Pro,8,147,25,11
2023-06-19,Tablet Stand Adjustable,13,188,40,6
2023-01-09,Bluetooth Speaker Mini,6,27,40,1
2023-02-09,Smartphone X1,5,56,30,2
2023-01-25,Smartphone X1,5,169,20,1
2023-09-18,LED Desk Lamp Pro,1,167,40,9
2023-08-14,Smartwatch Series 5,9,173,35,8
2023-05-04,Tablet Stand Adjustable,6,18,40,5
2023-02-07,Smartphone X1,7,173,15,2
2023-11-24,USB-C Hub 6-in-1,9,38,60,11
2023-09-08,LED Desk Lamp Pro,5,153,30,9
2023-06-25,Tablet Stand Adjustable,14,101,20,6
2023-03-31,Smartphone X1,5,158,25,3
2023-02-06,Tablet Stand Adjustable,8,73,50,2
2023-11-12,Desk Fan CoolBreeze,7,120,80,11
2023-06-25,Laptop Charger Type-C,13,133,150,6
2023-10-11,LED Desk Lamp Pro,13,196,30,10
2023-03-22,Tablet Stand Adjustable,8,119,20,3
2023-04-24,LED Desk Lamp Pro,11,127,50,4
2023-02-09,Tablet Stand Adjustable,18,165,80,2
2023-10-28,Smartphone X1,19,192,15,10
2023-08-12,Wireless Earphone Pro,6,109,30,8
2023-11-14,Power Bank Ultra 10000mAh,2,40,25,11
2023-12-15,LED Desk Lamp Pro,13,170,150,12
2023-04-25,Desk Fan CoolBreeze,11,197,80,4
2023-07-05,USB-C Hub 6-in-1,1,178,25,7
2023-11-19,Wireless Earphone Pro,2,90,40,11
2023-02-25,Power Bank Ultra 10000mAh,17,55,50,2
2023-02-09,Desk Fan CoolBreeze,8,58,30,2
2023-12-20,Laptop Charger Type-C,2,51,50,12
2023-02-09,Power Bank Ultra 10000mAh,6,160,80,2
2023-12-13,Tablet Stand Adjustable,5,121,35,12
2023-08-25,Smartphone X1,16,36,35,8
2023-10-16,Wireless Earphone Pro,8,169,150,10
2023-09-19,Laptop Charger Type-C,19,97,40,9
2023-08-04,Smartphone X1,16,130,15,8
2023-05-27,LED Desk Lamp Pro,13,12,20,5
2023-12-02,Power Bank Ultra 10000mAh,7,69,30,12
2023-06-17,Smartphone X1,16,88,30,6
2023-04-02,Power Bank Ultra 10000mAh,16,154,80,4
2023-12-19,Desk Fan CoolBreeze,12,41,35,12
2023-02-28,Laptop Charger Type-C,14,16,60,2
2023-02-28,Tablet Stand Adjustable,18,80,15,2
2023-10-31,Smartphone X1,18,137,80,10
2023-06-18,Smartphone X1,16,67,15,6
2023-09-26,Laptop Charger Type-C,16,177,60,9
2023-12-29,Desk Fan CoolBreeze,13,121,35,12
2023-02-14,LED Desk Lamp Pro,9,57,25,2
2023-12-11,Smartphone X1,9,188,60,12
2023-06-30,Bluetooth Speaker Mini,13,194,80,6
2023-06-19,LED Desk Lamp Pro,4,120,20,6
2023-12-22,Smartwatch Series 5,9,80,15,12
2023-07-10,Desk Fan CoolBreeze,15,174,40,7
2023-06-04,Smartphone X1,14,84,80,6
2023-07-07,LED Desk Lamp Pro,19,83,25,7
2023-01-07,Desk Fan CoolBreeze,12,130,20,1
2023-05-13,LED Desk Lamp Pro,6,64,35,5
2023-08-23,USB-C Hub 6-in-1,3,50,150,8
2023-02-14,Smartwatch Series 5,16,106,30,2
2023-11-10,LED Desk Lamp Pro,17,157,60,11
2023-09-06,Wireless Earphone Pro,16,42,30,9
2023-01-31,Wireless Earphone Pro,6,177,80,1
2023-01-23,USB-C Hub 6-in-1,8,43,35,1
2023-06-09,Desk Fan CoolBreeze,19,71,50,6
2023-12-29,LED Desk Lamp Pro,2,28,20,12
2023-06-07,Power Bank Ultra 10000mAh,14,180,40,6
2023-02-08,Desk Fan CoolBreeze,12,19,30,2
2023-03-23,USB-C Hub 6-in-1,17,129,15,3
2023-12-22,Smartphone X1,15,132,25,12
2023-09-15,Smartwatch Series 5,18,113,30,9
2023-07-25,Wireless Earphone Pro,16,150,80,7
2023-03-18,Wireless Earphone Pro,13,14,20,3
2023-01-12,LED Desk Lamp Pro,17,67,20,1
2023-10-22,Tablet Stand Adjustable,8,68,60,10
2023-08-12,USB-C Hub 6-in-1,1,137,50,8
2023-01-13,LED Desk Lamp Pro,3,196,60,1
2023-02-15,Smartwatch Series 5,16,95,150,2
2023-06-04,Desk Fan CoolBreeze,2,113,40,6
2023-04-23,Laptop Charger Type-C,15,152,35,4
2023-08-21,LED Desk Lamp Pro,1,138,80,8
2023-01-17,Power Bank Ultra 10000mAh,9,47,80,1
2023-12-26,LED Desk Lamp Pro,16,116,35,12
2023-08-11,Power Bank Ultra 10000mAh,4,118,35,8
2023-12-20,Wireless Earphone Pro,12,62,35,12
2023-07-07,Desk Fan CoolBreeze,1,61,50,7
2023-12-10,Smartwatch Series 5,1,10,35,12
2023-12-31,Tablet Stand Adjustable,7,20,35,12
2023-06-12,Laptop Charger Type-C,18,67,30,6
2023-11-22,USB-C Hub 6-in-1,15,137,15,11
2023-03-15,Power Bank Ultra 10000mAh,13,177,20,3
